epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,18150.4,0.38425,0.19236,0.84786,0.99943,1,0.995,0.89699,0.47195,0.1785,0.86677,5.53588e-05,5.53588e-05,5.53588e-05
121,18301.5,0.37627,0.18889,0.84924,0.99948,1,0.995,0.89842,0.47076,0.17521,0.86432,5.22683e-05,5.22683e-05,5.22683e-05
122,18452.8,0.37444,0.18845,0.85106,0.99955,1,0.995,0.9006,0.46862,0.17615,0.86462,4.92656e-05,4.92656e-05,4.92656e-05
123,18604.1,0.38269,0.19151,0.84874,0.99958,1,0.995,0.89739,0.48003,0.17833,0.86975,4.6352e-05,4.6352e-05,4.6352e-05
124,18755.5,0.38144,0.19064,0.85109,0.9995,1,0.995,0.89686,0.46835,0.17794,0.86605,4.35288e-05,4.35288e-05,4.35288e-05
125,18906.9,0.37598,0.18799,0.84951,0.99949,1,0.995,0.89572,0.47467,0.1759,0.87002,4.07973e-05,4.07973e-05,4.07973e-05
126,19058.1,0.36836,0.18309,0.84643,0.99959,1,0.995,0.89843,0.47545,0.17636,0.86974,3.81587e-05,3.81587e-05,3.81587e-05
127,19209.2,0.37802,0.19092,0.85559,0.99947,1,0.995,0.89774,0.47853,0.17546,0.8706,3.56141e-05,3.56141e-05,3.56141e-05
128,19360.4,0.37147,0.18357,0.85096,0.99917,1,0.995,0.89813,0.48481,0.17576,0.87447,3.31646e-05,3.31646e-05,3.31646e-05
129,19511.6,0.37027,0.1863,0.85099,0.99939,1,0.995,0.89742,0.46961,0.17153,0.86729,3.08113e-05,3.08113e-05,3.08113e-05
130,19662.8,0.37254,0.18332,0.84741,0.99947,1,0.995,0.89951,0.46836,0.17325,0.86695,2.85553e-05,2.85553e-05,2.85553e-05
131,19814,0.3744,0.18537,0.85334,0.99935,1,0.995,0.89844,0.46717,0.17404,0.86631,2.63975e-05,2.63975e-05,2.63975e-05
