epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,21511.5,0.36718,0.18981,0.85657,0.99843,1,0.995,0.89405,0.4747,0.17756,0.87634,0.00207792,0.00207792,0.00207792
143,21662.3,0.36113,0.18844,0.85408,0.99559,1,0.99471,0.89788,0.4743,0.17885,0.87341,0.00201611,0.00201611,0.00201611
144,21813,0.36763,0.18584,0.85498,0.9996,1,0.995,0.90138,0.46664,0.17415,0.87394,0.00195505,0.00195505,0.00195505
145,21963.9,0.35706,0.18397,0.85406,0.99971,1,0.995,0.89984,0.46899,0.17227,0.8767,0.00189475,0.00189475,0.00189475
146,22114.8,0.35986,0.18469,0.8461,0.99972,1,0.995,0.89779,0.47394,0.17393,0.87576,0.00183523,0.00183523,0.00183523
147,22265.6,0.35655,0.18261,0.85131,0.99972,1,0.995,0.89672,0.47001,0.17359,0.87156,0.00177651,0.00177651,0.00177651
148,22416.5,0.36279,0.18517,0.85011,0.99973,1,0.995,0.89747,0.47356,0.17593,0.87301,0.00171859,0.00171859,0.00171859
149,22567.3,0.35142,0.1817,0.8491,0.99974,1,0.995,0.89518,0.47521,0.17672,0.87583,0.00166149,0.00166149,0.00166149
150,22718.1,0.3503,0.18146,0.84368,0.99971,1,0.995,0.8917,0.48406,0.17444,0.87865,0.00160523,0.00160523,0.00160523
151,22868.8,0.35099,0.1797,0.8507,0.99965,1,0.995,0.88994,0.48398,0.17461,0.87938,0.00154982,0.00154982,0.00154982
152,23019.5,0.34406,0.18003,0.84696,0.99957,1,0.995,0.89143,0.48693,0.178,0.88477,0.00149527,0.00149527,0.00149527
153,23170.3,0.34904,0.17847,0.84759,0.99959,1,0.995,0.89045,0.48987,0.17687,0.88563,0.00144161,0.00144161,0.00144161
154,23321.1,0.35206,0.17805,0.84791,0.99963,1,0.995,0.89429,0.48352,0.17453,0.88478,0.00138883,0.00138883,0.00138883
155,23472,0.34667,0.17763,0.84844,0.99952,1,0.995,0.89874,0.47522,0.17306,0.88013,0.00133695,0.00133695,0.00133695
156,23623,0.34252,0.17385,0.84493,0.99918,1,0.995,0.89629,0.47396,0.17331,0.87635,0.00128599,0.00128599,0.00128599
157,23774,0.33914,0.17625,0.84602,0.9991,1,0.995,0.89788,0.46978,0.1717,0.87642,0.00123596,0.00123596,0.00123596
158,23924.8,0.34285,0.1764,0.84661,0.99872,1,0.995,0.89485,0.47572,0.17415,0.87753,0.00118687,0.00118687,0.00118687
159,24075.7,0.33528,0.17341,0.84664,0.99569,1,0.995,0.89299,0.47373,0.17532,0.87575,0.00113873,0.00113873,0.00113873
160,24226.6,0.33149,0.16859,0.84478,0.99562,1,0.995,0.89548,0.47649,0.17407,0.87913,0.00109156,0.00109156,0.00109156
161,24377.6,0.32924,0.16748,0.84082,0.99575,1,0.995,0.89545,0.46904,0.172,0.87537,0.00104537,0.00104537,0.00104537
162,24528.4,0.33591,0.17231,0.84499,0.996,1,0.995,0.89539,0.47419,0.17442,0.87899,0.00100016,0.00100016,0.00100016
163,24679.3,0.33193,0.16899,0.84398,0.99788,1,0.995,0.89288,0.47657,0.17429,0.88156,0.000955951,0.000955951,0.000955951
164,24830.3,0.33247,0.17018,0.84876,0.99945,1,0.995,0.89274,0.48082,0.17139,0.8817,0.000912754,0.000912754,0.000912754
165,24981.3,0.33021,0.17149,0.84163,0.9997,1,0.995,0.8949,0.47559,0.16877,0.87918,0.000870577,0.000870577,0.000870577
166,25132.2,0.32531,0.16704,0.84142,0.99975,1,0.995,0.89517,0.47901,0.17112,0.88138,0.000829431,0.000829431,0.000829431
167,25283.2,0.32891,0.17001,0.84101,0.99976,1,0.995,0.89129,0.47657,0.16884,0.88102,0.000789327,0.000789327,0.000789327
168,25434.2,0.32547,0.16973,0.84395,0.99976,1,0.995,0.89228,0.47901,0.16974,0.88159,0.000750274,0.000750274,0.000750274
169,25585.1,0.32373,0.16556,0.83483,0.99975,1,0.995,0.88999,0.48391,0.17016,0.88699,0.000712282,0.000712282,0.000712282
170,25736.1,0.31759,0.16415,0.84099,0.99976,1,0.995,0.89521,0.48016,0.16974,0.88314,0.00067536,0.00067536,0.00067536
171,25887,0.32646,0.16706,0.83989,0.99975,1,0.995,0.89386,0.47653,0.16783,0.88015,0.000639518,0.000639518,0.000639518
172,26038.1,0.31994,0.16302,0.83809,0.99975,1,0.995,0.89321,0.4801,0.16889,0.88266,0.000604763,0.000604763,0.000604763
173,26189.1,0.32469,0.16927,0.84144,0.99971,1,0.995,0.89393,0.47904,0.16886,0.8819,0.000571106,0.000571106,0.000571106
